device_id,name,ip_address,port,current_username,current_use_telnet,error_message,payload_name_matches,payload_ip_port_matches,match_rule
f6953fdd-4e35-4f51-9d08-e3b187cf825e,CCR1036 - CGNAT,177.125.10.1,2223,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
74130827-ca95-41a4-b396-b83f5299d867,ZABBIX - ALPHAVILLE,168.194.15.42,22,ajust,False,A conexao SSH foi fechada ou a senha do usuario 'ajust' esta incorreta. Erro: TCP connection to device failed.  Common causes of this problem are: 1. Incorrect hostname or IP address. 2. Wrong TCP port. 3. Intermediate firewall blocking access.  Devi,0,0,
8c05838a-59e3-4c91-be59-0f38ebd84eb1,BORDA-TORRE-OGA_FIBRA_TELECOM,179.51.151.48,7822,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
aad7de09-b1ae-4764-bd9c-4119a215a6f0,GRAFANA - FLASHNET,168.194.12.14,3000,admin,False,A conexão foi fechada ou as credenciais (API Key) estão incorretas.,0,0,
feda3639-1d01-486a-8b00-b4e2ffca032c,RB BORDA,192.141.105.40,15422,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
2a94824e-ae8e-4bf9-a266-0ac311890112,Borda e Autenticador G5 Barra de Jangada,128.201.76.176,15422,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
604880e9-605e-4852-a5e7-e8753296028b,RB 3011,192.141.105.40,15422,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
6ed1ccf6-8b79-4310-8a3d-3ab6915d2d4a,Grafana Meganet,0.0.0.0,22,nao_precisa,False,A conexão foi fechada ou as credenciais (API Key) estão incorretas.,0,0,
11708f6e-b4f9-445b-a727-e73e2de8bbad,AUT_PORTO-OGA_FIBRA_TELECOM,179.51.151.248,7922,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
4b3b7f33-496d-45bf-8310-ce955d41164b,GRAFANA - VOO,45.164.10.128,3000,rc7,False,A conexão foi fechada ou as credenciais (API Key) estão incorretas.,0,0,
eb7d9b5f-fda7-404d-9da8-b7b6baad4208,MK CCR 1072 - AUT/BORDA,131.108.155.144,22022,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
7d2764c0-898c-4d1b-a323-00aab47f4795,Autenticador RB 4011,128.201.94.56,15422,ajust,False,"A conexao foi fechada, recusada ou as credenciais estao incorretas. Detalhe: NetmikoAuthenticationException: Authentication to device failed.  Common causes of this problem are: 1. Invalid username and password 2. Incorrect SSH-key file 3. Connecting",0,0,
